symbol,levels,resistances,avg_vol_20d
BDL.NS,1336.65;1236.47,1243.70;1277.90;1285.70;1293.00;1348.00;1393.70;1427.70;1433.10;1440.50;1450.70;1481.20,1260336.95
BELRISE.NS,209.96;203.70;225.25,222.75;223.50;226.30;228.80;236.50;237.70;239.25;239.70;252.00;268.20,3025132.25
BEML.NS,1770.30;1698.54,1798.00;1799.20;1818.00;1819.10;1874.00;1881.00;1884.00;1890.00;1910.00;1954.80;1984.00;2037.10;2205.00,421308.55
BERGEPAINT.NS,481.47;491.42;505.62,490.00;513.35;529.00;530.00;538.15;540.35;557.30;559.70;565.90,265017.9
BHARATFORG.NS,1827.30;1873.75;2062.28;2134.75,1925.00;1949.90;1988.50;2044.00;2104.90;2159.90;2176.10;2223.20;2232.50;2238.00;2295.00,847490.05
BHARTIHEXA.NS,1482.00;1436.67;1573.10,1508.80;1523.70;1543.00;1578.50;1585.90;1616.90;1623.00;1647.20;1647.30;1662.20;1678.10,69432.25
BHEL.NS,369.70;394.68,408.90;417.90;422.40;423.70;424.90;435.95;439.20;442.65;446.50,5944521.05
BIKAJI.NS,624.82;634.93;602.12,635.90;648.35;648.60;651.65;660.45;666.00;670.60;682.00;684.00;689.00;696.60;708.75,183971.45
BIOCON.NS,337.85;423.15;407.88,364.80;368.20;421.60;423.55;431.75;432.15;436.90;439.95;440.40;442.50;447.15,2721448.35
BLS.NS,274.24;244.38;232.48,244.07;246.50;275.90;276.00;276.80;280.14;282.70;286.95;295.20;305.75;309.00,2763820.8
BLUEDART.NS,4807.03;5003.25,4949.50;4960.00;5035.20;5050.00;5079.50;5159.50;5277.00;5280.00;5520.00;5579.70;5745.00;5775.50,8034.35
BLUEJET.NS,564.98,430.10;459.00;481.40;501.60;521.55;547.60;599.90;612.95;615.60;630.00;647.80,410013.3
BLUESTARCO.NS,1581.77;1432.40,1535.40;1565.10;1652.80;1710.60;1717.70;1737.60;1763.20;1825.80;1921.00;1928.90,477945.7
BRIGADE.NS,517.67;574.54;478.76;494.90,545.50;553.65;572.00;578.00;595.95;602.66;610.50;612.00;619.45;671.00;735.00,790129.0
BSE.NS,3426.27;3208.10,3410.00;3412.00;3474.00;3570.00;3628.00;3671.40;3867.50;3971.60;3994.00;4121.00;4219.90;4298.90;4446.80,4246197.4
BSOFT.NS,306.65;276.12,303.95;304.60;314.00;331.00;331.80;337.25;356.80;381.95;383.00;399.85,1215074.6
CAMS.NS,717.75;757.72;743.45,778.00;778.05;785.40;786.40;792.50;795.40;807.45;812.00;830.50;836.00;844.90,1286742.65
CANFINHOME.NS,801.80;822.88,815.00;831.90;838.95;841.55;852.35;854.90;898.75;910.00;917.00;927.00;940.85;943.90,236070.15
CANHLIFE.NS,140.18;132.89;145.88,141.74;142.38;144.15;145.00;146.56;149.00;149.69;152.50;152.69;154.80;158.80;161.05;162.90;166.69,1167190.3
CAPLIPOINT.NS,2498.70;2447.60,1785.00;1799.80;1885.00;2060.00;2099.00;2447.30;2590.00;2600.00;2672.10;2675.00;2699.00;2877.30,254230.45
CARBORUNIV.NS,991.65;1005.20;1045.96;1074.95,920.95;959.00;1076.30;1082.00;1110.00;1121.00;1134.90;1151.00;1166.40;1196.00;1207.00;1208.10;1306.90,210137.5
CARTRADE.NS,2695.97,1889.00;1895.10;2115.00;2494.90;2740.00;2742.00;2868.00;2870.00;2886.00;3079.00;3081.50;3225.70;3254.00,392042.0
CASTROLIND.NS,181.68;184.84,182.30;185.49;185.76;186.00;188.20;188.30;188.70;188.95;190.90;191.80;195.00,1819541.9
CCL.NS,1044.87;1073.27;1108.10,1122.50;1126.90;1134.00;1137.00;1146.50;1149.90;1183.10;1213.70;1215.00;1217.50;1223.80;1224.00;1228.70;1236.20;1242.20,153783.6
CDSL.NS,1190.85;1303.40;1320.75,1234.30;1235.10;1269.30;1291.00;1345.50;1361.30;1362.00;1365.90;1396.80;1401.10;1417.90;1445.00;1453.10,1306107.55
CEATLTD.NS,3127.37,3260.40;3289.50;3369.70;3550.00;3633.80;3824.80;3879.00;3949.90;3986.00,48888.15
CEMPRO.NS,1205.60,691.95;938.00;982.80;1089.90;1257.40;1291.60;1296.00;1355.00;1363.70;1597.40;1647.30;1649.20,249645.3
CENTRALBK.NS,35.51;30.96,31.18;31.23;31.57;31.66;31.73;33.18;33.30;34.24;34.44;34.48;37.04;37.09;37.33,5551947.75
CESC.NS,174.37;164.00;159.46,153.42;167.45;169.10;171.55;172.00;173.98;177.25;182.00;182.97;188.70;204.50,1746007.6
CGCL.NS,181.67;198.00;215.53,189.02;191.56;204.90;208.40;225.99;243.87;258.90;263.56;264.53;287.45,7882852.7
CHALET.NS,741.37;807.92;785.98,798.00;809.50;810.00;820.05;835.00;850.00;858.00;869.00;874.90;907.35;939.95,227652.75
CHAMBLFERT.NS,439.39;423.55,423.15;423.60;446.90;446.95;457.00;459.00;460.15;461.00;466.15;473.80;482.70;483.00;497.80,611634.4
CHENNPETRO.NS,1105.07;1086.05,1103.00;1159.70;1172.90;1225.00;1249.00;1279.70;1351.00;1354.00;1449.00;1489.70;1677.50,1748825.55
CHOICEIN.NS,650.80;794.25,696.00;702.00;736.00;819.00;846.00;854.30,354289.15
CHOLAHLDNG.NS,1519.95;1575.55;1399.10;1491.55,1642.70;1658.00;1658.90;1672.00;1675.90;1721.40;1809.90,106767.25
CIEINDIA.NS,449.58;403.72,422.00;423.00;460.00;471.90;473.50;476.40;481.00;483.50;489.25;502.95;504.00,233899.5
CLEAN.NS,736.48;715.80;815.52,770.00;789.30;799.80;809.00;817.35;817.60;838.95;842.90;848.90;854.40;874.80;899.50,349640.55
COCHINSHIP.NS,1457.60;1411.50;1369.10,1422.80;1485.40;1523.60;1536.90;1551.00;1557.00;1571.80;1577.90;1780.00;1842.80,1101566.55
COFORGE.NS,1141.70;1394.40;1359.20;1428.90;1771.45,1229.90;1334.90;1387.80;1447.00;1523.60;1554.00;1569.00;1836.40;2021.20,2657646.3
COHANCE.NS,417.57;440.93,380.20;406.50;442.35;444.30;444.75;448.00;456.30;470.00;473.70;474.70;476.50;484.00;486.30;505.00;514.90,1221458.8
COLPAL.NS,2061.30;2100.80;1973.35;1792.90,1897.60;2086.60;2108.90;2126.40;2136.50;2190.10;2205.90;2213.40;2223.70,404909.9
CONCOR.NS,495.84;511.57;467.70,484.65;491.05;500.00;513.50;520.75;521.95;524.25;531.70;537.00;543.70,1095201.75
CONCORDBIO.NS,1024.80;1247.97,1094.20;1113.60;1180.00;1234.20;1273.00;1314.50;1365.60;1407.90;1469.60;1471.90;1615.00,176493.9
COROMANDEL.NS,1955.35;1794.90;1713.35;1893.43;1995.40,1915.50;1980.00;2032.00;2036.20;2064.90;2081.00;2085.80;2102.90;2112.50;2129.90;2197.90,128575.95
CPPLUS.NS,3256.67;3393.80,2365.00;2389.90;2563.90;2575.00;3566.00;3685.00;3714.40;3740.00;3758.20;3787.00;3866.00;4094.00,243346.2
CRAFTSMAN.NS,9158.50;9000.50;10251.67,7800.00;7933.00;8919.00;9259.00;9300.00;9420.00;9528.00;9535.00;9738.00;9938.00;10762.00;10960.00;11500.00;11999.00,54131.8
CREDITACC.NS,1222.05;1351.35;1460.30,1288.00;1298.00;1326.60;1332.70;1442.00;1468.00;1483.60;1540.90;1552.00;1566.90;1568.00;1608.10;1634.00,247341.15
CRISIL.NS,4419.10;4637.55,4077.00;4219.50;4250.00;4463.90;4540.00;4559.30;4662.00;4872.00,54363.95
CROMPTON.NS,250.03;241.27,248.80;259.00;266.94;266.95;271.00;280.00;280.89;281.50;299.15;299.90;310.50,4062638.85
CUB.NS,194.78;180.51;218.21,193.95;196.89;206.25;208.50;211.88;218.60;220.13;225.85;231.82;234.40;245.38;248.85,2575913.8
CYIENT.NS,843.42;856.32;817.73,872.40;879.45;879.70;885.00;899.90;904.95;912.80;927.60;931.50;932.00;989.50;1219.00,1733575.75
DABUR.NS,420.28;439.70,431.45;438.00;438.75;455.00;455.75;456.00;465.00;490.50,2062061.6
DALBHARAT.NS,1677.22;1787.05,1744.50;1765.30;1804.00;1844.40;1859.80;1887.70;1913.00;1925.00;2004.40;2007.60,274953.0
DATAPATTNS.NS,3895.65;4397.95,4189.90;4249.00;4250.00;4295.00;4303.00;4625.00;4712.40;4722.00;4831.70;4955.90;4999.90;5000.00,866781.4
DCMSHRIRAM.NS,1083.45;988.90;1006.30,1052.50;1065.00;1066.80;1070.00;1070.30;1085.60;1119.50;1128.70;1167.40;1187.50;1224.80;1262.70;1325.00,104815.4
DEEPAKFERT.NS,1208.25;1440.80,1292.50;1364.40;1474.60;1503.40;1508.00;1528.50;1592.90;1625.00;1642.00;1668.00;1680.00;1681.00,237760.9
DEEPAKNTR.NS,1684.35;1712.60;1635.60;1609.00;1542.00,1692.30;1704.90;1764.00;1780.00;1800.90;1809.30;1820.00;1851.00;1897.90,332285.05
DELHIVERY.NS,444.13;429.20;455.32,448.65;465.90;469.40;471.95;474.95;478.40;483.50;486.75;487.50;491.40;491.70;523.00;524.00,1755428.7
DEVYANI.NS,106.37;112.65;110.24,112.46;115.64;117.80;118.39;119.88;121.00;121.38;124.00;129.97;142.86;145.00;155.95,2858792.05
DIXON.NS,11750.50;13603.33,11360.00;11440.00;11595.00;11674.00;11925.00;12930.00;14030.00;14445.00;14589.00;14685.00;15000.00,370568.75
DOMS.NS,2183.00;2223.17,2239.60;2279.90;2291.40;2324.70;2355.00;2369.40;2381.80;2383.90;2403.00;2429.00;2435.00,39447.75
ECLERX.NS,1439.10;1320.50;1734.00,1472.00;1572.90;1617.60;1621.00;1667.80;1714.00;1925.40;1994.60;2025.00;2062.00,223232.8
EIDPARRY.NS,755.01;701.48,749.65;775.15;784.00;788.75;803.50;824.85;828.00;865.40;865.50;876.00;913.90,794901.9
EIHOTEL.NS,318.93;282.82,307.50;307.95;330.65;333.30;333.40;334.20;337.05;337.90;341.75;342.00;352.75,250114.6
ELECON.NS,403.35;470.93;513.67,435.50;448.15;452.00;457.00;459.30;524.45;550.00;553.85;576.00;579.00,656325.35
ELGIEQUIP.NS,597.77;566.80,567.90;571.80;574.70;574.95;599.70;607.00;618.70;628.45;631.70;633.85;644.00;645.90,542383.2
EMAMILTD.NS,443.80;393.78,377.65;404.80;413.00;413.50;416.20;418.80;419.60;428.75;435.00;438.00;477.00,1681383.35
EMCURE.NS,1673.00;1840.17,1688.00;1757.90;1818.00;1830.00;1863.40;1940.00;1944.00;2048.00,128011.85
EMMVEE.NS,324.40;314.46,284.90;288.00;299.50;334.70;337.90;339.60;341.40;344.70;352.00;369.80;371.55,1923325.8
ENDURANCE.NS,2314.07;2471.05;2554.80,2470.80;2477.00;2674.00;2693.00;2745.00;2765.00;2789.00;2799.00;2811.50;2823.00;3043.00;3072.00,117858.35
ENGINERSIN.NS,236.89;233.78;220.16,229.95;241.00;243.85;246.66;253.40;257.30;258.55;264.60;265.00;267.00;289.65,5731650.95
ERIS.NS,1321.72;1347.50;1386.57,1349.90;1362.00;1410.00;1413.00;1419.50;1441.90;1465.00;1478.00;1488.00;1499.00;1530.00,55034.7
ESCORTS.NS,3195.25;2899.10;2703.90;3042.40,2832.40;2903.70;2997.80;3014.70;3022.00;3030.00;3036.00;3037.00;3042.70;3105.00;3138.00;3158.50;3173.10;3377.90;3382.00;3408.00,60844.6
EXIDEIND.NS,339.18;379.03,360.45;379.90;399.45;409.80;410.50;431.00;452.80;457.90;461.40;496.40,2180935.65
FACT.NS,886.62;847.91,823.30;851.40;888.40;892.00;897.00;910.95;920.00;929.00;933.90;938.40;951.70;1058.60,1953493.5
FEDERALBNK.NS,281.73;321.53;350.81;340.40,298.45;299.05;301.70;327.00;334.30;336.50;347.05;356.95;364.20;371.70,4845273.4
FINCABLES.NS,965.61,1060.00;1065.00;1076.00;1172.80;1184.80;1193.30;1203.90;1315.00;1339.30;1374.00;1498.00,1141090.15
FIRSTCRY.NS,211.68;203.61,183.00;216.60;217.95;222.30;222.50;234.00;235.02;237.95;245.00;246.40;269.40;269.63,4583637.8
FIVESTAR.NS,477.52;442.25;414.45;530.58,448.00;469.30;527.85;527.95;540.00;558.80;562.90;565.00;573.60;575.60,600443.65
FLUOROCHEM.NS,3226.20;3552.60;3822.30;4373.20,3399.00;3412.10;3702.00;3874.90;3878.00;3920.50;3948.00;4038.00;4649.00;4653.20;4829.90;4958.90,149654.2
FORCEMOT.NS,18807.50;17017.33;17698.25,18069.00;18724.00;18860.00;18886.00;18971.00;19200.00;19448.00;19604.00;20850.00;21100.00;21180.00;21460.00;23221.00,70124.1
FORTIS.NS,903.68;942.52,861.20;941.90;964.50;978.70;979.60;982.95;987.45;988.25;992.70;996.55;1010.10,946029.8
FSL.NS,226.15;260.03;234.65,234.40;249.30;250.77;254.68;272.00;273.85;274.01;274.80;278.70;280.85;282.05;341.90,2493701.65
GABRIEL.NS,971.30;1325.60,1048.70;1149.80;1154.00;1285.00;1292.30;1467.90;1519.90;1600.00,272400.1
GALLANTT.NS,821.48;649.57,597.45;599.00;644.00;709.80;712.00;715.00;727.00;749.00;895.55;904.25;938.00;948.00,62347.3
GESHIP.NS,1326.25;1403.80;1353.20,1380.00;1426.90;1449.00;1459.00;1477.30;1502.20;1536.00;1598.90;1600.00;1618.90;1798.00,892370.75
GICRE.NS,391.52;379.10;345.71;355.63,361.30;361.80;363.10;364.50;370.75;375.20;394.00;394.80;402.00;414.00;417.95,1108533.65
GILLETTE.NS,7635.83;7264.00,7460.00;7564.00;7776.00;7798.00;7945.00;7971.00;8014.50;8100.00;8195.00;8277.00;8433.50,14354.5
GLAND.NS,1698.10;2181.90;2789.55,1832.00;1953.70;2356.50;2395.00;2396.00;2528.30;2564.80;2573.50;2634.30;3039.80;3042.00,578598.5
GLAXO.NS,2343.53,2216.00;2404.80;2468.80;2504.70;2520.00;2527.00;2529.90;2684.00;3001.30;3054.90;3120.70,186526.15
GLENMARK.NS,2127.08;2207.95;2244.50;2158.60,2234.90;2252.50;2270.20;2274.90;2326.10;2341.60;2400.70;2427.00;2440.00;2474.00;2492.00;2537.60,470066.85
GMDCLTD.NS,587.90;575.75;552.64,579.70;586.55;601.00;617.15;621.40;631.90;708.20;754.30;771.90,1002171.65
GMRAIRPORT.NS,92.17;94.02;98.55;105.96;109.75,96.50;98.50;98.73;100.00;101.79;104.00;104.14;107.89;111.15;112.40;114.65;114.99;115.64,12032096.05
GODFRYPHLP.NS,2074.88;2175.05,2163.90;2172.00;2248.20;2267.00;2297.80;2319.00;2336.90;2348.40;2410.00;2484.70;2491.70,183635.8
GODIGIT.NS,315.80;301.20;293.90;250.38,261.45;265.10;265.55;288.80;290.90;304.90;316.00;316.95;320.90;322.95;326.95;327.80;332.95;333.90;334.00,178690.3
GODREJIND.NS,,935.00;1043.40;1199.95;1215.90;1220.00;1250.00;1260.65;1352.90;1372.90;1398.80;1443.00,137234.85
GODREJPROP.NS,1642.65;1975.07,1739.00;1834.80;1849.00;1951.90;2056.70;2057.00;2095.00;2143.90;2168.30;2168.90;2180.00,683701.15
GPIL.NS,279.30;273.15;238.90;229.43,248.05;251.89;253.00;255.00;256.00;257.10;278.45;284.00;292.50;296.00;309.75;310.50;312.75;320.00,1402120.4
GRANULES.NS,820.81,650.00;730.80;761.40;773.20;797.90;803.90;804.30;868.20;868.80;882.00;883.00;910.00,1289280.1
GRAPHITE.NS,619.32;697.33,645.00;658.00;665.90;687.50;744.80;748.50;755.50;757.00;760.00;764.70;772.90;802.40;874.35,3605877.1
GRAVITA.NS,1557.70;1604.32,1659.90;1709.90;1724.00;1748.20;1784.60;1838.90;1844.70;1846.30;1858.50;1870.00,166138.7
GROWW.NS,192.16;181.28;184.68;189.18,193.68;198.04;205.21;208.17;208.49;220.98;224.40;227.20,52202801.0
GRSE.NS,2549.03;2479.35,2568.90;2641.00;2644.50;2665.00;2677.10;2706.00;2723.70;2751.90;2809.70;2934.70;3130.00;3339.00,343256.3
GVT&D.NS,4366.50;4207.15;4038.00,4452.00;4539.00;4549.00;4602.90;4694.00;4730.00;4738.80;4825.00;4849.00;4962.40;5148.50;5222.10;5650.00,987294.6
HAVELLS.NS,1231.00;1168.95;1129.80,1196.00;1200.90;1209.10;1218.20;1219.40;1234.00;1276.70;1290.30;1299.10;1301.50;1315.00;1410.70,810403.4
HBLENGINE.NS,783.82;735.42,727.05;745.00;772.80;811.90;829.85;832.50;836.00;844.90;875.00,1927072.85
HDBFS.NS,654.15;671.78,638.25;680.70;683.95;694.10;697.00;699.20;705.00;712.10;723.95;759.80;786.55,773480.7
HEG.NS,579.12;508.33,552.00;552.90;616.00;637.50;675.90;685.70;690.00;698.00;749.00;753.90,1674186.9
HEROMOTOCO.NS,5148.25;4918.38;4753.85,4980.00;5024.00;5044.00;5073.40;5140.00;5198.30;5458.50;5484.50;5659.00;5937.00,526989.55
HEXT.NS,470.98;495.47;531.10;550.65,506.00;507.00;520.70;552.50;563.75;565.85;578.00;578.90;584.50;622.80,438163.55
HFCL.NS,202.33,155.30;208.98;219.96;220.09;228.00;229.40;229.50;230.95;255.16;256.70,11396051.05
HINDCOPPER.NS,511.37;528.12;484.27;472.50,500.80;511.80;512.00;532.20;545.00;568.45;572.35;586.75;618.10,14217918.95
HINDPETRO.NS,340.45;368.72;357.43;388.03,367.65;381.70;388.00;401.05;401.65;404.25;407.10;409.00;409.95;410.50;412.55;420.00,3845474.1
HOMEFIRST.NS,1128.23;1048.50;1155.18,1087.00;1134.10;1187.00;1199.60;1220.00;1226.30;1227.90;1238.90;1241.20;1248.10;1284.90;1289.60,168890.1
HONASA.NS,338.92;397.15;439.75;462.65,353.00;353.55;359.75;362.80;364.70;422.40;424.90;438.35;491.35;492.60;493.50;509.80,862968.25
HONAUT.NS,37260.00,32880.00;33100.00;36500.00;36550.00;37190.00;39800.00;40480.00;41495.00,2773.1
HSCL.NS,632.95;735.60;650.05,478.05;625.00;632.50;654.45;684.55;687.00;693.30;693.90;707.45;718.00;794.50;819.50,6163810.45
HUDCO.NS,198.38;204.75,189.58;205.00;205.15;209.80;212.41;217.85;218.00;235.50,1583412.55
ICICIAMC.NS,3255.05;3161.27;3045.12,3152.00;3287.70;3289.30;3313.50;3329.50;3428.30;3430.00;3568.00;3597.50;3611.00,631163.0
ICICIGI.NS,1729.23;1765.40;1612.80,1650.00;1708.40;1771.00;1802.40;1837.90;1856.80;1862.80;1887.50;1893.50;1908.90,900071.05
ICICIPRULI.NS,490.97;475.95;457.40,490.40;500.45;512.00;522.35;523.90;525.75;529.30;531.95;572.00;584.75,1165698.3
IDBI.NS,71.36;80.92;83.13,75.10;75.75;76.19;76.21;77.25;79.90;86.23;87.44;89.94;92.25;96.25,20619444.3
IDEA.NS,13.81;12.68,9.73;14.31;14.33;14.85;15.16;15.25;15.34;15.37;15.79,403957723.15
IDFCFIRSTB.NS,66.43;77.41;78.83;83.27,68.80;71.15;71.45;73.08;79.09;81.46;81.77;82.70;86.50;86.67;86.94;87.40;88.10;88.76,14988964.5
IEX.NS,126.26;123.27;121.58;116.44,121.63;126.22;126.80;128.65;129.69;129.70;129.80;134.76;136.80;137.34,3387966.05
IFCI.NS,60.70;73.01,60.00;64.17;66.25;78.56;79.20;79.64;83.44;84.19;95.80;107.50,120007159.25
IGIL.NS,343.07;352.02;335.02,349.50;353.25;357.70;362.25;362.55;369.90;369.95;371.40;373.60;378.00;384.95;388.30,444120.4
IGL.NS,161.04;149.76;146.71,152.39;154.70;155.50;156.73;157.68;158.70;159.50;169.20;169.90;171.25;171.73;171.84;173.29;175.60,2419891.8
