Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
120,ARE&M,871.25,878.0,-0.77,0.37,36.9,55,884.06,860.44,907.69,931.31,954.94,1017.3,16.76,"Very close to support, Support rejection, Above 200 DMA"
121,CCL,1086.1,1066.7,1.82,1.0,39.8,55,1108.81,1045.37,1172.26,1235.71,1299.15,1151.8,6.05,"Very close to support, Support rejection, Above 200 DMA"
122,BLUEJET,580.35,570.25,1.77,0.46,47.4,55,587.47,558.85,616.1,644.73,673.36,615.6,6.07,"Very close to support, Support rejection, Above 200 DMA"
123,MARICO,829.35,820.0,1.14,0.96,42.1,55,836.52,803.6,869.44,902.36,935.28,879.0,5.99,"Very close to support, Support rejection, Above 200 DMA"
124,SUMICHEM,505.15,503.05,0.42,0.4,39.9,55,514.98,492.99,536.97,558.96,580.94,572.05,13.24,"Very close to support, Support rejection, Above 200 DMA"
125,GODIGIT,258.4,251.05,2.93,0.47,43.9,55,262.72,246.03,279.42,296.12,312.81,290.9,12.58,"Near support, Support rejection, Bullish candle"
126,KFINTECH,929.0,911.7,1.9,1.17,46.4,55,938.87,893.47,984.28,1029.69,1075.1,992.4,6.82,"Very close to support, Support rejection, Above 50 DMA"
127,PGEL,566.0,566.0,0.0,1.01,36.4,55,568.58,554.68,582.49,596.39,610.3,643.95,13.77,"Very close to support, Support rejection, Above 200 DMA"
128,BAJAJHFL,82.78,82.6,0.22,0.94,36.5,50,83.23,80.95,85.5,87.78,90.06,87.52,5.73,"Very close to support, Support rejection"
129,BERGEPAINT,488.05,486.0,0.42,0.52,34.1,50,490.88,476.28,505.48,520.08,534.68,565.9,15.95,"Very close to support, Support rejection"
130,IREDA,112.55,113.75,-1.05,1.07,34.5,50,113.91,111.47,116.34,118.77,121.2,122.13,8.51,"Very close to support, Support rejection"
131,KPITTECH,588.0,577.0,1.91,0.45,45.0,50,591.08,565.46,616.7,642.32,667.94,640.7,8.96,"Very close to support, Support rejection"
