Date,Symbol,Signal,BuyPrice,CurrentPrice,Target,StopLoss,PnL%,Status
2026-08-19 06:04,BHEL,BREAKOUT BUY,421.7000122070313,417.6,433.25,414.0,-0.97,HOLDING
2026-08-19 06:04,BEL,BREAKOUT BUY,412.5499877929688,410.2,425.73,403.76,-0.57,HOLDING
2026-08-19 06:04,HAL,BREAKOUT BUY,5099.0,5034.7,5381.81,4910.46,-1.26,HOLDING
2026-08-20 06:05,TITAN,BREAKOUT BUY,5067.89990234375,5105.0,5235.78,4955.98,0.73,HOLDING
2026-08-20 06:05,HEROMOTOCO,BREAKOUT BUY,5901.0,5713.5,6250.26,5668.16,-3.18,HOLDING
2026-08-20 06:05,BHEL,BREAKOUT BUY,421.7000122070313,417.75,433.25,414.0,-0.94,HOLDING
2026-08-20 06:05,BEL,BREAKOUT BUY,412.5499877929688,410.15,425.73,403.76,-0.58,HOLDING
2026-08-20 06:05,HAL,BREAKOUT BUY,5099.0,4991.5,5381.81,4910.46,-2.11,HOLDING
2026-08-21 06:06,TITAN,BREAKOUT BUY,5067.89990234375,5039.0,5235.78,4955.98,-0.57,HOLDING
2026-08-21 06:06,HEROMOTOCO,BREAKOUT BUY,5901.0,5683.5,6250.26,5668.16,-3.69,HOLDING
2026-08-21 06:06,BHEL,BREAKOUT BUY,421.7000122070313,414.0,433.25,414.0,-1.83,SL HIT
2026-08-21 06:06,BEL,BREAKOUT BUY,412.5499877929688,414.25,425.73,403.76,0.41,HOLDING
2026-08-21 06:06,HAL,BREAKOUT BUY,5099.0,5055.5,5381.81,4910.46,-0.85,HOLDING
2026-08-21 06:06,KOTAKBANK,BREAKOUT BUY,403.0,403.0,413.98,395.68,0.0,HOLDING
2026-08-24 08:06,TITAN,BREAKOUT BUY,5067.89990234375,5059.4,5235.78,4955.98,-0.17,HOLDING
2026-08-24 08:06,HEROMOTOCO,BREAKOUT BUY,5901.0,5678.5,6250.26,5668.16,-3.77,HOLDING
2026-08-24 08:06,BEL,BREAKOUT BUY,412.5499877929688,405.7,425.73,403.76,-1.66,HOLDING
2026-08-24 08:06,HAL,BREAKOUT BUY,5099.0,4877.5,5381.81,4910.46,-4.34,SL HIT
2026-08-24 08:06,KOTAKBANK,BREAKOUT BUY,403.0,399.4,413.98,395.68,-0.89,HOLDING
2026-08-24 08:06,DLF,BREAKOUT BUY,687.4000244140625,687.4000244140625,715.54,668.64,0.0,HOLDING
2026-08-25 06:06,TITAN,BREAKOUT BUY,5067.89990234375,5064.5,5235.78,4955.98,-0.07,HOLDING
2026-08-25 06:06,HEROMOTOCO,BREAKOUT BUY,5901.0,5618.5,6250.26,5668.16,-4.79,SL HIT
2026-08-25 06:06,BEL,BREAKOUT BUY,412.5499877929688,408.15,425.73,403.76,-1.07,HOLDING
2026-08-25 06:06,KOTAKBANK,BREAKOUT BUY,403.0,400.45,413.98,395.68,-0.63,HOLDING
2026-08-25 06:06,DLF,BREAKOUT BUY,687.4000244140625,683.35,715.54,668.64,-0.59,HOLDING
2026-08-25 06:06,SIEMENS,BREAKOUT BUY,4100.0,4100.0,4296.92,3968.72,0.0,HOLDING
2026-08-26 07:37,TITAN,BREAKOUT BUY,5067.89990234375,5100.3,5235.78,4955.98,0.64,HOLDING
2026-08-26 07:37,BEL,BREAKOUT BUY,412.5499877929688,409.3,425.73,403.76,-0.79,HOLDING
2026-08-26 07:37,KOTAKBANK,BREAKOUT BUY,403.0,415.5,413.98,395.68,3.1,TARGET HIT
2026-08-26 07:37,DLF,BREAKOUT BUY,687.4000244140625,678.85,715.54,668.64,-1.24,HOLDING
2026-08-26 07:37,SIEMENS,BREAKOUT BUY,4100.0,4048.0,4296.92,3968.72,-1.27,HOLDING
2026-08-26 07:37,KOTAKBANK,BREAKOUT BUY,415.70001220703125,415.70001220703125,439.61,399.76,0.0,HOLDING
