Symbol,CMP,Return3M%,Return6M%,Return9M%,Volatility3M,MomentumScore,Rank
MAHSEAMLES,643.75,1.32,21.59,13.9,1.63,7.545,180
APLAPOLLO,2155.9,13.55,-3.92,25.28,1.56,7.483,181
NATIONALUM,392.4,-5.72,15.38,52.32,2.77,7.45,182
EQUITASBNK,77.58,16.7,12.42,20.13,2.22,7.388,183
ENTERO,1408.2,3.97,28.3,23.93,2.58,7.268,184
AUBANK,1103.1,9.02,8.46,19.99,1.73,7.223,185
THERMAX,4014.8,-9.49,29.83,36.4,2.63,7.183,186
KARURVYSYA,335.6,14.93,2.94,32.28,2.35,7.126,187
SHYAMMETL,988.0,2.7,10.68,18.08,1.49,7.039,188
AARTIIND,518.7,5.64,14.14,34.08,2.57,6.98,189
DEEPAKFERT,1453.6,-1.38,40.53,2.9,2.02,6.947,190
MOTILALOFS,998.4,14.69,30.02,4.83,2.38,6.925,191
ABSLAMC,1002.5,-0.91,13.55,36.04,2.38,6.83,192
POLYCAB,9013.5,-2.7,16.42,17.65,1.54,6.796,193
TEJASNET,509.25,1.57,54.11,-0.07,2.74,6.767,194
ASTERDM,760.9,0.44,19.49,14.37,1.71,6.68,195
GRINDWELL,2074.5,6.75,29.34,27.67,3.19,6.662,196
INDUSINDBK,1003.5,8.36,6.23,19.52,1.72,6.623,197
ENGINERSIN,242.19,12.13,12.51,20.42,2.29,6.571,198
KIMS,783.05,2.48,10.3,17.19,1.52,6.561,199
USHAMART,493.6,2.66,21.86,12.46,1.89,6.509,200
PTCIL,20210.0,27.25,10.58,16.66,2.8,6.493,201
AIAENG,4340.4,8.67,12.24,17.53,1.98,6.468,202
KIRLOSBROS,1915.0,17.59,16.6,9.3,2.25,6.436,203
PRIVISCL,3459.7,4.26,22.12,4.37,1.62,6.31,204
INDIAGLYCO,1141.9,15.55,18.94,4.76,2.08,6.298,205
BECTORFOOD,259.57,42.65,18.32,-1.55,3.15,6.293,206
INDGN,559.0,8.01,14.01,8.52,1.63,6.259,207
GODREJIND,1229.5,9.14,25.51,16.39,2.74,6.209,208
ALKYLAMINE,1936.8,12.61,25.35,9.67,2.56,6.201,209
HCG,726.05,10.97,25.48,-1.35,1.89,6.194,210
JYOTICNC,966.0,44.03,12.85,-1.12,3.05,6.103,211
